id,created_by,created_date,last_modified_by,last_modified_date,amount,error_description,status,type,harvest_year,harvest_id,distribution_origin_id,private_ucs_amount,public_ucs_amount
5361,1,2017-11-06 00:00:00,,,11967,,FINISHED,REPARTITION_HARVEST,2010,,,11967,0
5362,1,2017-11-06 00:00:00,,,5042,,FINISHED,REPARTITION_HARVEST,2010,,,5042,0
5363,1,2017-11-06 00:00:00,,,1926,,FINISHED,REPARTITION_HARVEST,2010,,,1926,0
5364,1,2017-11-06 00:00:00,,,4223,,FINISHED,REPARTITION_HARVEST,2010,,,4223,0
5365,1,2017-11-06 00:00:00,,,7616,,FINISHED,REPARTITION_HARVEST,2010,,,7616,0
5366,1,2017-11-06 00:00:00,,,62,,FINISHED,REPARTITION_HARVEST,2010,,,62,0
5367,1,2017-11-06 00:00:00,,,2704,,FINISHED,REPARTITION_HARVEST,2010,,,2704,0
5368,1,2017-11-06 00:00:00,,,3486,,FINISHED,REPARTITION_HARVEST,2010,,,3486,0
5369,1,2017-11-06 00:00:00,,,3573,,FINISHED,REPARTITION_HARVEST,2010,,,3573,0
5370,1,2017-11-06 00:00:00,,,8343,,FINISHED,REPARTITION_HARVEST,2010,,,8343,0
5371,1,2017-11-06 00:00:00,,,3914,,FINISHED,REPARTITION_HARVEST,2010,,,3914,0
5372,1,2017-11-06 00:00:00,,,2775,,FINISHED,REPARTITION_HARVEST,2010,,,2775,0
5373,1,2017-11-06 00:00:00,,,17163,,FINISHED,REPARTITION_HARVEST,2010,,,17163,0
5374,1,2017-11-06 00:00:00,,,10275,,FINISHED,REPARTITION_HARVEST,2010,,,10275,0
5375,1,2017-11-06 00:00:00,,,228,,FINISHED,REPARTITION_HARVEST,2010,,,228,0
5376,1,2017-11-06 00:00:00,,,404,,FINISHED,REPARTITION_HARVEST,2010,,,404,0
5377,1,2017-11-06 00:00:00,,,321,,FINISHED,REPARTITION_HARVEST,2010,,,321,0
5378,1,2017-11-06 00:00:00,,,73,,FINISHED,REPARTITION_HARVEST,2010,,,73,0
5379,1,2017-11-06 00:00:00,,,1165,,FINISHED,REPARTITION_HARVEST,2010,,,1165,0
5380,1,2017-11-06 00:00:00,,,859,,FINISHED,REPARTITION_HARVEST,2010,,,859,0
5381,1,2017-11-06 00:00:00,,,26,,FINISHED,REPARTITION_HARVEST,2010,,,26,0
5382,1,2017-11-06 00:00:00,,,176,,FINISHED,REPARTITION_HARVEST,2010,,,176,0
5383,1,2017-11-06 00:00:00,,,964,,FINISHED,REPARTITION_HARVEST,2010,,,964,0
5384,1,2017-11-06 00:00:00,,,40,,FINISHED,REPARTITION_HARVEST,2010,,,40,0
