id,method,path,microservice,created_by,created_date,last_modified_by,last_modified_date
7508,POST,/v1/ownership-transfer-orders/types,backoffice,,,,
7509,GET,/v1/ownership-transfer-orders/types/name-available,backoffice,,,,
7510,GET,/v1/ownership-transfer-orders/types/{id:\\d+},backoffice,,,,
7511,PATCH,/v1/ownership-transfer-orders/types/{id:\\d+},backoffice,,,,
7512,PATCH,/v1/ownership-transfer-orders/types/status/{id:\\d+},backoffice,,,,
7513,PATCH,/v1/order-book/groups/{groupId:\\d+},backoffice,,,,
7514,DELETE,/v1/order-book/groups/{groupId:\\d+},backoffice,,,,
7515,GET,/v1/order-book/groups/{groupId:\\d+}/participants,backoffice,,,,
7516,PATCH,/v1/order-book/groups/{groupId:\\d+}/participants,backoffice,,,,
7517,PATCH,/v1/order-book/groups/{groupId:\\d+}/participants/{participantId:\\d+},backoffice,,,,
7518,DELETE,/v1/order-book/groups/{groupId:\\d+}/participants/{participantId:\\d+},backoffice,,,,
7519,PUT,/v1/order-book/groups/{groupId:\\d+}/items,backoffice,,,,
7520,GET,/v1/order-book/queues,backoffice,,,,
7521,POST,/v1/order-book/queues,backoffice,,,,
7522,PATCH,/v1/order-book/queues/{id:\\d+},backoffice,,,,
7523,DELETE,/v1/order-book/queues/{id:\\d+},backoffice,,,,
7524,PATCH,/v1/order-book/queues/{id:\\d+}/groups,backoffice,,,,
7525,POST,/v1/order-book/queues/{id:\\d+}/groups,backoffice,,,,
7526,PATCH,/v1/order-book/queues/{id:\\d+}/groups/{groupId:\\d+},backoffice,,,,
7527,GET,/v1/order-book/{platformId:\\d+}/queue,backoffice,,,,
7528,GET,/v1/nxt-accounts,backoffice,,,,
7529,POST,/v1/nxt-accounts,backoffice,,,,
7530,DELETE,/v1/nxt-accounts/{id:\\d+},backoffice,,,,
7531,PATCH,/v1/nxt-accounts/{id:\\d+},backoffice,,,,
7532,GET,/v1/nxt-accounts/{id:\\d+},backoffice,,,,
7533,GET,/v1/nxt-accounts/public-key/{publicKey}/account,backoffice,,,,
7534,GET,/v1/nxt-accounts/account/{accountId}/secret-phrase/validate,backoffice,,,,
7535,GET,/v1/nxt-accounts/users,backoffice,,,,
7536,GET,/v1/invoice,backoffice,,,,
7537,PATCH,/v1/invoice/{id:\\d+},backoffice,,,,
7538,GET,/v1/invoice/{id:\\d+}/documentation/download,backoffice,,,,
7539,POST,/v1/invoice/{id:\\d+}/documentation/upload,backoffice,,,,
7540,POST,/v1/stock-data/accounts/password,backoffice,,,,
7541,POST,/v1/stock-data/cep/csv,backoffice,,,,
7542,POST,/v1/stock-data/partners/csv,backoffice,,,,
7543,POST,/v1/stock-data/areas/csv,backoffice,,,,
7544,POST,/v1/stock-data/producers/csv,backoffice,,,,
7545,POST,/v1/stock-data/associations/csv,backoffice,,,,
7546,POST,/v1/harvest,backoffice,,,,
7547,GET,/v1/harvest/producer,backoffice,,,,
7548,GET,/v1/harvest/producer/{document:\\d+},backoffice,,,,
7549,PATCH,/v1/harvest/nxt/synchronize,backoffice,,,,
7550,PATCH,/v1/harvest/{harvestId:\\d+}/areas/{area:\\d+}/year/{year:\\d+}/nxt,backoffice,,,,
7551,GET,/v1/harvest/balance/{year:\\d+},backoffice,,,,
7552,GET,/v1/harvest/partition/{area:\\d+}/{amount:\\d+},backoffice,,,,
7553,GET,/v1/harvest/{year:\\d+},backoffice,,,,
7554,GET,/v1/harvest/{year:\\d+}/export/csv,backoffice,,,,
7555,GET,/v1/harvest/users,backoffice,,,,
7556,GET,/v1/certificate-distributor/users,backoffice,,,,
7557,PATCH,/v1/certificate-distributor/orders/status,backoffice,,,,
7558,GET,/v1/certificate-distributor/{type}/orders/status/info,backoffice,,,,
7559,GET,/v1/certificate-distributor/credentialed/orders,backoffice,,,,
7560,GET,/v1/certificate-distributor/credentialed/orders/{id:\\d+},backoffice,,,,
7561,GET,/v1/certificate-distributor/credentialed/orders/{id:\\d+}/badge,backoffice,,,,
7562,GET,/v1/certificate-distributor/financial/orders,backoffice,,,,
7563,GET,/v1/certificate-distributor/general/orders,backoffice,,,,
7564,GET,/v1/certificate-distributor/general/orders/export/csv,backoffice,,,,
7565,PATCH,/v1/certificate-distributor-order/{distributorCertificateOrderId:\\d+}/nxt,backoffice,,,,
7566,PATCH,/v1/certificate-distributor-orders/nxt/synchronize,backoffice,,,,
7567,PATCH,/v1/certificate-distributor/discounts,backoffice,,,,
7568,DELETE,/v1/certificate-distributor/discounts,backoffice,,,,
7569,GET,/v1/distribution-configuration,backoffice,,,,
7570,PUT,/v1/distribution-configuration,backoffice,,,,
7571,DELETE,/v1/distribution-configuration/{distributionConfigurationId:\\d+},backoffice,,,,
7572,PUT,/v1/distribution-configuration/{distributionConfigurationId:\\d+},backoffice,,,,
7573,GET,/v1/distribution-configuration/{distributionConfigurationId:\\d+},backoffice,,,,
7574,GET,/v1/distribution-configuration/{distributionConfigurationId:\\d+}/copy,backoffice,,,,
7575,PATCH,/v1/distribution-configuration/{distributionConfigurationId:\\d+}/change-status,backoffice,,,,
7576,GET,/v1/distribution-configuration/user,backoffice,,,,
7577,GET,/v1/digital-collection,backoffice,,,,
7578,POST,/v1/digital-collection/upload,backoffice,,,,
7579,POST,/v1/digital-collection/{fileId}/upload,backoffice,,,,
7580,GET,/v1/digital-collection/users,backoffice,,,,
7581,DELETE,/v1/digital-collection/{fileId},backoffice,,,,
7582,GET,/v1/digital-collection/{fileId}/download,backoffice,,,,
7583,PATCH,/v1/digital-collection/{fileId}/status,backoffice,,,,
7584,GET,/v1/dare-royalties,backoffice,,,,
7585,PATCH,/v1/dare-royalties/royalties,backoffice,,,,
7586,POST,/v1/dare-royalties/royalties/documentation/upload,backoffice,,,,
7587,PATCH,/v1/dare-royalties/dare,backoffice,,,,
7588,POST,/v1/dare-royalties/dare/documentation/upload,backoffice,,,,
7589,GET,/v1/dare-royalties/{id:\\d+},backoffice,,,,
7590,GET,/v1/dare-royalties/{id:\\d+}/royalties/download,backoffice,,,,
7591,GET,/v1/dare-royalties/{id:\\d+}/dare/download,backoffice,,,,
7592,GET,/v1/p/dare-royalties/download,backoffice,,,,
7593,GET,/v1/balance-user,backoffice,,,,
7594,GET,/v1/balance-user/export/csv,backoffice,,,,
7595,GET,/v1/compensation-indexes,backoffice,,,,
7596,PUT,/v1/compensation-indexes,backoffice,,,,
7597,GET,/v1/compensation-indexes/{type}/current,backoffice,,,,
7598,GET,/v1/p/compensation-indexes,backoffice,,,,
7599,GET,/v1/certificate-orders,backoffice,,,,
7600,PATCH,/v1/certificate-orders/{certificateOrderId:\\d+}/nxt,backoffice,,,,
7601,PATCH,/v1/certificate-orders/nxt/synchronize,backoffice,,,,
7602,PATCH,/v1/certificate-orders/status,backoffice,,,,
