id,distribution_id,dare_code,royalties_code,royalties_total,dare_total,created_by,created_date,last_modified_by,last_modified_date,royalties_file_id,dare_file_id
329,37334,,3003728271,0.07,0.00,0,2023-09-19 10:52:27.014186,0,2023-09-19 10:52:27.014186,87b6e7f5-5f2b-4cba-b931-fe8741ec45dc,
343,37379,3003749428,3003749432,0.20,270.90,0,2023-10-04 10:43:57.144483,0,2023-10-04 10:43:57.144483,f8ec5427-76d9-4efc-a7d3-d6c33a22c45a,93e959fb-1e51-46f7-a57f-e361dbb690b3
354,37432,3003784471,3003784521,0.39,651.30,0,2023-11-09 10:44:38.882568,0,2023-11-09 10:44:38.882568,1e38f34f-db9b-4f42-b29d-e682370d32c4,55a76fbf-a841-4878-b7cb-48257011d499
340,37355,,3003728271,0.07,0.00,0,2023-09-27 15:20:52.072972,0,2023-09-27 15:20:52.072972,87b6e7f5-5f2b-4cba-b931-fe8741ec45dc,
341,37377,3003728267,3003728271,10.16,20317.50,0,2023-09-29 12:05:03.832006,0,2023-09-29 12:05:03.832006,87b6e7f5-5f2b-4cba-b931-fe8741ec45dc,c6b339f5-0cec-4620-a392-5d3f8362e6ee
380,37636,12072024,12072024,0.47,946.12,0,2024-06-10 09:30:21.252205,0,2024-06-10 09:30:21.252205,15154fde-a23b-4bef-a2aa-a442cbef3c35,ac275812-4669-4325-9feb-f6c1c99deadb
372,37593,,3004547710,0.08,0.00,0,2024-04-10 17:28:05.897156,0,2024-04-10 17:28:05.897156,fcf4697c-7074-4843-86c9-20e9223a7b34,
384,37839,3003947706,3003947707,0.07,132.90,0,2024-07-15 15:04:51.162246,0,2024-07-15 15:04:51.162246,dba36447-e9fb-40f9-a331-ae9cef7bfa0d,1401d17b-e286-4fc0-964a-ca6b6e2b83a9
374,37618,,3004547710,0.07,0.00,0,2024-05-22 12:22:36.221267,0,2024-05-22 12:22:36.221267,fcf4697c-7074-4843-86c9-20e9223a7b34,
376,37623,,3004547710,0.07,0.00,0,2024-05-29 15:56:26.149474,0,2024-05-29 15:56:26.149474,fcf4697c-7074-4843-86c9-20e9223a7b34,
375,37619,3004547708,3004547710,0.50,1002.19,0,2024-05-23 17:52:36.370359,0,2024-05-23 17:52:36.370359,fcf4697c-7074-4843-86c9-20e9223a7b34,e08b04c2-5a12-439f-96c2-4a474be1c395
373,37615,3004547708,3004547710,0.43,859.02,0,2024-05-21 12:38:21.468881,0,2024-05-21 12:38:21.468881,fcf4697c-7074-4843-86c9-20e9223a7b34,bdb2ee26-ede7-4e35-86c1-1e9599f0ae8c
2,35289,3002600671,3002599471,0.97,1940.00,1,2018-08-13 00:00:00,,,28dab046-9e5c-11eb-a8b3-0242ac130003,28daaf88-9e5c-11eb-a8b3-0242ac130003
410,39412,,,2.15,4484.25,0,2025-07-01 16:13:44.74053,0,2025-07-01 16:13:44.74053,,
392,37936,3004537162,3004537174,1.09,2015.26,0,2024-10-15 17:07:41.471493,0,2024-10-15 17:07:41.471493,ddaa89bf-9626-4fc9-a799-553a123f0dc1,ff286893-6ffd-4ca7-8f66-82a6f27f8d02
408,39387,3004537162,,0.00,179.37,0,2025-05-29 15:10:33.586902,0,2025-05-29 15:10:33.586902,,e447cbf7-bd37-43f6-bc12-09c4d462aac3
406,39373,3004537162,,0.00,179.37,0,2025-05-16 13:04:53.61998,0,2025-05-16 13:04:53.61998,,7038f5e8-d5bf-4d60-99f6-f6b4f8c8f7b1
328,37333,06102023,05102023,3.72,7585.20,0,2023-09-19 10:50:47.775249,0,2023-09-19 10:50:47.775249,53bd53f4-6511-4f60-be9b-869cfde6d214,be29afc7-0791-4843-b8bb-fcdd18025836
315,37229,06102023,05102023,0.34,677.25,0,2023-09-14 16:53:46.74598,0,2023-09-14 16:53:46.74598,53bd53f4-6511-4f60-be9b-869cfde6d214,ca76c4eb-c639-48d1-9d23-30a01177839f
316,37230,06102023,05102023,0.07,135.45,0,2023-09-14 16:54:06.067004,0,2023-09-14 16:54:06.067004,53bd53f4-6511-4f60-be9b-869cfde6d214,9ed4a07a-b18c-4c24-a64a-bf2bc6590883
318,37232,06102023,05102023,2.98,6095.25,0,2023-09-14 16:55:01.550328,0,2023-09-14 16:55:01.550328,53bd53f4-6511-4f60-be9b-869cfde6d214,87185eb3-2be4-4b22-8f29-663cf74e9fe0
323,37241,06102023,05102023,1.15,2302.65,0,2023-09-15 08:48:46.168333,0,2023-09-15 08:48:46.168333,53bd53f4-6511-4f60-be9b-869cfde6d214,a7144c72-e176-4f64-b72f-24b10ccccd78
332,37346,06102023,05102023,0.27,406.35,0,2023-09-27 11:49:27.041279,0,2023-09-27 11:49:27.041279,53bd53f4-6511-4f60-be9b-869cfde6d214,c0c00420-bdc0-417f-913e-cd355dac13fa
337,37351,06102023,05102023,0.20,541.80,0,2023-09-27 11:51:06.999271,0,2023-09-27 11:51:06.999271,53bd53f4-6511-4f60-be9b-869cfde6d214,55c60d24-e2c7-4caf-bd41-a5afb9a07384
399,37967,3004537162,,0.31,620.08,0,2024-11-13 17:42:03.974426,0,2024-11-13 17:42:03.974426,,15573317-3fe2-417c-952b-26cf7273fbcb
311,37225,06102023,05102023,0.27,541.80,0,2023-09-14 11:08:40.100246,0,2023-09-14 11:08:40.100246,53bd53f4-6511-4f60-be9b-869cfde6d214,136335f4-54f5-429a-9f8b-6054554a97ed
387,37902,3003992479,,0.00,155.02,0,2024-09-30 15:42:15.989474,0,2024-09-30 15:42:15.989474,,02ddf688-8f76-4592-816f-5bdd22262a27
382,37788,3003926458,,0.00,135.16,0,2024-06-24 10:10:36.080032,0,2024-06-24 10:10:36.080032,,08179f08-02f2-4ea0-b3b0-a67cb4acc94c
