id,available_balance,reserved_balance,blocked_balance,retired_balance,user_id,updated_on,platform_id
21157,0,0,0,2,1587,2023-05-22 15:52:32.871274,3
18691,0,3,0,0,376,2024-12-13 12:38:23.544408,3
21450,0,0,0,2,1631,2023-05-30 18:01:07.799539,4
18317,0,0,0,62,748,2023-11-09 10:38:18.543416,3
18429,0,0,0,0,567,2023-02-06 11:05:05.148751,3
18434,10,0,0,0,242,2022-09-06 18:17:58.325057,3
18435,0,0,958,0,522,2023-03-16 16:16:15.131061,2
20960,2029,0,0,0,1501,2023-09-26 14:27:46.952925,4
18436,0,0,0,1,1251,2022-09-06 18:17:58.325057,3
18441,18,0,0,0,581,2023-08-15 10:45:43.086542,4
18439,0,0,997659,0,84,2022-09-21 11:51:20.31498,2
21013,0,0,0,0,1473,2023-08-15 10:45:43.086542,4
21082,1,0,0,2,1549,2023-08-31 12:03:43.075356,4
18362,11317,0,0,0,834,2023-10-30 15:31:08.514407,4
21084,0,0,0,3,1547,2023-05-10 13:21:42.819622,4
18363,0,0,2909,0,828,2023-03-16 16:20:20.702836,2
21727,0,0,0,2,1669,2024-08-27 15:15:45.900642,3
18397,13743,0,0,0,290,2024-11-25 10:26:48.443698,4
18450,0,0,0,0,356,2022-09-06 18:17:58.325057,1
18452,0,0,5,0,154,2023-03-16 16:28:55.466431,4
22776,0,0,0,1,1859,2023-11-09 11:29:58.530883,3
22428,0,0,0,7,1742,2023-09-27 11:50:46.771932,3
22407,0,0,0,7,1746,2023-09-27 11:49:26.792782,3
18520,0,0,0,177,746,2023-11-09 10:39:03.53046,3
20163,0,0,0,2,1350,2024-09-30 15:42:15.913976,3
22928,0,0,0,2,1879,2023-12-13 12:05:56.720998,3
18252,0,0,0,60,811,2023-11-27 16:50:22.709505,3
23027,0,0,0,1,1718,2024-03-08 13:21:05.637645,3
18391,59714,0,0,0,300,2024-11-25 10:27:53.439461,4
22396,0,0,0,18,1761,2024-10-29 09:52:08.005561,3
23012,0,0,0,0,1972,2025-04-09 14:33:03.463261,4
22883,0,49999,0,0,1623,2024-12-13 12:38:23.544408,3
19152,41217,0,0,0,338,2024-11-25 10:32:38.451107,4
