id,name,description,category
328,adm:tesouro-verde-certificate-orders:remove-discount,Permite remover um cupom de desconto em Pedidos de Certificado Tesouro Verde.,ADM Tesouro Verde - Gestão de pedidos de selo
329,adm:platforms:list,Permite listar todas as platformas cadastradas no sistema.,ADM - Plataformas
330,adm:platforms:add,Permite cadastrar uma nova plataforma.,ADM - Plataformas
331,adm:platforms:edit,Permite editar uma plataforma  existente.,ADM - Plataformas
332,adm:platforms:details,Permite visualizar detalhes de uma plataforma especifica,ADM - Plataformas
333,adm:cpr:list,Permite listar todas as CPR's cadastradas no sistema.,ADM - CPR
334,adm:cpr:details,Permite visualizar detalhes de uma CPR especifica,ADM - CPR
335,adm:cpr:add,Permite cadastrar uma nova CPR.,ADM - CPR
336,adm:cpr:edit,Permite editar uma CPR existente.,ADM - CPR
337,adm:cpr:analyze-documentation,Permite gerenciar a documentação das CPRs Verde cadastradas no sistema,ADM - CPR
338,adm:cpr:change-status,Permite alterar o status de uma CPR.,ADM - CPR
339,adm:cpr:revoke,Permite revogar uma CPR,ADM - CPR
340,adm:cpr:execute,Permite executar garantia em uma CPR.,ADM - CPR
341,akses:cpr:list,Permite Listar as CPR's do usuário cadastrada no sistema,AKSES - CPR
342,akses:cpr:details,Permite visualizar a CPR do usuário cadastrada no sistema,AKSES - CPR
343,akses:cpr:add,Permite cadastrar uma nova CPR,AKSES - CPR
344,akses:cpr:flag-revoke,Permite ao usuário alterar o status de cpr como sinalizar  para revogar,AKSES - CPR
345,akses:cpr:flag-execute,Permite ao usuário alterar o status de cpr como sinalizar para executar,AKSES - CPR
346,adm:akses-living-carbon-certificate-order:download-negotiation-invoices,Permite fazer download das notas de negociação e contrato de cessão de direitos de comercialização das UCS de pedidios SaaS BMV.,ADM - Selo Carbono Vivo
347,adm:minting:list,Permite listar os Mitings cadastrados no sistema.,ADM - Mundi Token - Minting
348,adm:minting:details,Permite visualizar o Minting cadastrado no sistema.,ADM - Mundi Token - Minting
349,adm:minting:add,Permite cadastrar um Minting.,ADM - Mundi Token - Minting
350,adm:minting:edit,Permite editar um Minting cadastrado no sistema.,ADM - Mundi Token - Minting
351,adm:minting:change-status,Permite alterar o status de um Minting.,ADM - Mundi Token - Minting
352,adm:burned-token-orders:list,Permite listar os BurnedTokenOrders cadastrados no sistema.,ADM - Mundi Token - Burned Token Orders
353,adm:burned-token-orders:details,Permite visualizar o BurnedTokenOrder cadastrado no sistema.,ADM - Mundi Token - Burned Token Orders
354,adm:burned-token-orders:edit,Permite editar o BurnedTokenOrder cadastrado no sistema.,ADM - Mundi Token - Burned Token Orders
355,adm:burned-token-orders:change-status,Permite mudar o status dos BurnedTokenOrders cadastrados no sistema.,ADM - Mundi Token - Burned Token Orders
356,adm:burned-token-orders:send-nxt,Permite enviar NXT dos BurnedTokenOrders cadastrados no sistema.,ADM - Mundi Token - Burned Token Orders
357,adm:burned-token-orders:view-certificate,Permite visualizar o certicado do pedido BurnedTokenOrder,ADM - Mundi Token - Burned Token Orders
358,adm:burned-token-orders:sync-nxt,Permite sincronizar o nxt para pedidos de BurnedTokenOrder,ADM - Mundi Token - Burned Token Orders
359,akses:stock-availability-certificate:list,Permite listar os pedidos de Certidão de Disponibilidade de Estoque,AKSES - Certidão de Disponibilidade de Estoque
360,akses:stock-availability-certificate:add,Permite criar um novo pedido de Certidão de Disponibilidade de Estoque,AKSES - Certidão de Disponibilidade de Estoque
361,akses:stock-availability-certificate:details,Permite visualizar os detalhes de um pedido de Certidão de Disponibilidade de Estoque,AKSES - Certidão de Disponibilidade de Estoque
362,adm:stock-availability-certificate:list,Permite listar os pedidos de Certidão de Disponibilidade de Estoque,ADM - Certidão de Disponibilidade de Estoque
363,adm:stock-availability-certificate:details,Permite visualizar os detalhes de um pedido de Certidão de Disponibilidade de Estoque,ADM - Certidão de Disponibilidade de Estoque
364,adm:stock-availability-certificate:change-status,Permite mudar o status dos Stocks Availability Certicates Orders cadastrados no sistema.,ADM - Certidão de Disponibilidade de Estoque
365,adm:tesouro-verde-certificate-orders:audit-documentation,Permite auditar os documentos enviados pelos clientes do Tesouro Verde.,ADM Tesouro Verde - Gestão de pedidos de selo
366,adm:supply-platforms:list,Permite listar os abastecimentos anteriores das plataformas,ADM - Gestão de Estoque das Plataformas
367,adm:supply-platforms:add,Permite realizar um novo abastecimento de plataformas a partir de uma configuração de distribuição,ADM - Gestão de Estoque das Plataformas
368,adm:akses-living-carbon-certificate-order:audit-documentation,Permite auditar a documentação de um pedido Selo Carbono Vivo.,ADM - Selo Carbono Vivo
369,akses:stock-availability-certificate:view-certificate,Permite visualizar a Certidão de Disponibilidade de Estoque,AKSES - Certidão de Disponibilidade de Estoque
370,adm:stock-availability-certificate:view-certificate,Permite visualizar a Certidão de Disponibilidade de Estoque,ADM - Certidão de Disponibilidade de Estoque
371,adm:reports:participants,Permite a emissão do relatório de participantes (Credores e seus favorecidos),ADM - Gestão Financeira
372,adm:akses-movement-intention-order:list,Permite listar as Intenções de Movimentações,ADM - Intenção de Movimentação
373,adm:akses-movement-intention-order:details,Permite visualizar com detalhes uma Intenção de Movimentação,ADM - Intenção de Movimentação
374,adm:akses-movement-intention-order:change-status,Permite mudar o status de Intenções de Movimentação,ADM - Intenção de Movimentação
375,akses:movement-intention-order:list,Permite listar as Intenções de Movimentações,AKSES - Intenção de Movimentação
376,akses:movement-intention-order:add,Permite adicionar uma nova Intenção de Movimentação,AKSES - Intenção de Movimentação
377,akses:movement-intention-order:details,Permite visualizar com detalhes uma Intenção de Movimentação,AKSES - Intenção de Movimentação
378,adm:platform-tags:list,Permite listar as tags de plataformas,ADM - Tags de Plataformas
379,adm:platform-tags:edit,Permite editar as tags vinculadas às plataformas,ADM - Tags de Plataformas
380,adm:platform-workflows:list,Permite listar os fluxos de trabalho que envolvem plataformas,ADM - Workflows de Plataformas
381,adm:platform-workflows:edit,Permite editar os fluxos de trabalho que envolvem plataformas,ADM - Workflows de Plataformas
382,adm:financial-jobs:list,Permite listar os serviços do módulo financeiro para aplicação de taxa.,ADM - Financeiro - Serviços
383,adm:financial-jobs:add,Permite adicionar um novo serviço do módulo financeiro.,ADM - Financeiro - Serviços
384,adm:financial-jobs:edit,Permite editar um serviço do módulo financeiro.,ADM - Financeiro - Serviços
385,adm:financial-jobs:delete,Permite deletar um serviço do módulo financeiro.,ADM - Financeiro - Serviços
386,adm:financial-jobs:details,Permite visualizar detalhes de um serviço do módulo financeiro.,ADM - Financeiro - Serviços
387,adm:fee-availability:list,Permite listar as aplicações de taxas para um determinado serviço.,ADM - Financeiro - Aplicação de Taxas
388,adm:fee-availability:add,Permite criar uma nova aplicação de taxa.,ADM - Financeiro - Aplicação de Taxas
389,adm:fee-availability:edit,Permite editar uma aplicação de taxa existente.,ADM - Financeiro - Aplicação de Taxas
390,adm:fee-availability:details,Permite visualizar detalhes de uma aplicação de taxa existente.,ADM - Financeiro - Aplicação de Taxas
391,adm:fee-availability:delete,Permite remover uma aplicação de taxa.,ADM - Financeiro - Aplicação de Taxas
392,adm:feature-settings:list,Permite listar as configurações de workflow.,ADM -Configuração de Workflow de Plataformas
393,adm:feature-settings:edit,Permite editar as configurações de workflow.,ADM -Configuração de Workflow de Plataformas
394,adm:feature-settings:details,Permite visualizar uma configuração de workflow.,ADM -Configuração de Workflow de Plataformas
395,adm:financial-billing:list,Permite listas as contas a receber.,ADM - Financeiro - Contas a Receber
396,adm:financial-billing:add,Permite criar uma nova conta a receber.,ADM - Financeiro - Contas a Receber
397,adm:financial-billing:details,Permite visualizar uma conta a receber.,ADM - Financeiro - Contas a Receber
398,adm:financial-billing:edit,Permite editar uma conta a receber.,ADM - Financeiro - Contas a Receber
399,adm:financial-billing:remove-discount,Permite remover um desconto de um pedido vinculado a uma conta a receber,ADM - Financeiro - Contas a Receber
400,akses:billing:list,Permite listar contas a pagar no sistema AKSES.,AKSES - Pagamentos
401,akses:billing:add,Permite fazer pagamento de contas a pagar no sistema AKSES.,AKSES - Pagamentos
402,tesouro-verde:billing:list,Permite listar contas a pagar no sistema Plataforma Tesouro Verde.,Tesouro Verde - Pagamentos
403,tesouro-verde:billing:add,Permite fazer pagamento de contas a pagar no sistema Plataforma Tesouro Verde.,Tesouro Verde - Pagamentos
404,adm:financial-summary-cash-flow:list,Permite Listar os resumos de fluxo de caixa mensal e diário,ADM - Financeiro - Resumo Fluxo de Caixa
