id,remittance_id,bill_to_pay_id,transfer_to_id,variation,created_by,created_date,last_modified_by,last_modified_date
1229,147,1030,64,0.00,890,2022-12-14 15:53:08.829783,890,2022-12-14 15:53:08.829783
911,113,833,435,0.00,890,2022-11-30 09:16:21.424516,890,2022-11-30 09:16:21.424516
912,113,834,46,0.00,890,2022-11-30 09:16:21.425757,890,2022-11-30 09:16:21.425757
915,114,836,436,0.00,890,2022-11-30 11:49:44.132007,890,2022-11-30 11:49:44.132007
916,114,837,314,0.00,890,2022-11-30 11:49:44.133075,890,2022-11-30 11:49:44.133075
919,115,838,38,0.00,890,2022-12-01 09:26:53.312174,890,2022-12-01 09:26:53.312174
920,115,841,48,0.00,890,2022-12-01 09:26:53.31325,890,2022-12-01 09:26:53.31325
981,124,882,28,0.00,890,2022-12-06 08:18:33.542654,890,2022-12-06 08:18:33.542654
982,124,876,433,0.00,890,2022-12-06 08:18:33.543163,890,2022-12-06 08:18:33.543163
928,117,848,50,0.00,890,2022-12-02 09:43:55.179489,890,2022-12-02 09:43:55.179489
929,117,844,41,0.00,890,2022-12-02 09:43:55.180387,890,2022-12-02 09:43:55.180387
930,117,849,43,0.00,890,2022-12-02 09:43:55.18109,890,2022-12-02 09:43:55.18109
931,117,847,46,0.00,890,2022-12-02 09:43:55.18174,890,2022-12-02 09:43:55.18174
932,117,845,49,0.00,890,2022-12-02 09:43:55.182493,890,2022-12-02 09:43:55.182493
933,117,843,44,0.00,890,2022-12-02 09:43:55.183751,890,2022-12-02 09:43:55.183751
934,117,846,45,0.00,890,2022-12-02 09:43:55.185081,890,2022-12-02 09:43:55.185081
983,124,872,408,0.00,890,2022-12-06 08:18:33.543786,890,2022-12-06 08:18:33.543786
984,124,885,83,0.00,890,2022-12-06 08:18:33.544292,890,2022-12-06 08:18:33.544292
939,118,856,41,0.00,890,2022-12-02 12:34:51.312695,890,2022-12-02 12:34:51.312695
940,118,854,28,0.00,890,2022-12-02 12:34:51.313518,890,2022-12-02 12:34:51.313518
941,118,850,437,0.00,890,2022-12-02 12:34:51.314212,890,2022-12-02 12:34:51.314212
