id,issuer_id,recipient_id,ucs_transfer_amount,distribution_id,status,observations,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,origin_platform_id,recipient_platform_id
1188,3,402,12,38660,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27607",933,2023-07-06 19:29:50.53396,0,2024-11-25 08:58:50.589041,,,4,4
1658,3,266,639,38196,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18570",933,2023-07-06 20:35:01.145926,0,2024-11-25 08:56:26.839991,,,4,4
1210,3,402,99,38600,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27629",933,2023-07-06 19:32:55.824391,0,2024-11-25 08:58:50.235629,,,4,4
1185,3,402,524,38671,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27604",933,2023-07-06 19:29:25.042201,0,2024-11-25 08:58:50.632219,,,4,4
1659,3,266,89,38194,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27407",933,2023-07-06 20:35:09.357883,0,2024-11-25 08:56:26.815945,,,4,4
922,3,400,47315,38901,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18712",933,2023-07-06 18:52:18.055273,933,2024-11-25 08:58:50.696681,,,4,4
1186,3,402,464,38668,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27605",933,2023-07-06 19:29:33.483144,0,2024-11-25 08:58:50.617016,,,4,4
953,3,400,25675,38877,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18743",933,2023-07-06 18:56:41.044729,933,2024-11-25 08:58:50.697682,,,4,4
1214,3,402,1683,38606,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27633",933,2023-07-06 19:33:29.608058,933,2024-11-25 08:58:50.701627,,,4,4
1166,3,402,2065,38625,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18826",933,2023-07-06 19:26:44.182144,0,2024-11-25 08:58:49.629428,,,4,4
1187,3,402,386,38665,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27606",933,2023-07-06 19:29:41.972985,0,2024-11-25 08:58:50.602362,,,4,4
1180,3,402,4621,38637,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27599",933,2023-07-06 19:28:42.899401,0,2024-11-25 08:58:49.247201,,,4,4
924,3,400,64095,38879,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18714",933,2023-07-06 18:52:34.84524,933,2024-11-25 08:58:50.696651,,,4,4
1208,3,402,455,38666,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27627",933,2023-07-06 19:32:39.038033,0,2024-11-25 08:58:50.271274,,,4,4
925,3,400,41521,38878,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18715",933,2023-07-06 18:52:43.440219,933,2024-11-25 08:58:50.696637,,,4,4
