id,available_balance,retired_balance,blocked_balance,harvest_year,harvest_id,user_id,updated_on,platform_id
20965,0,0,0,2010,129,1525,2024-04-09 09:36:10.60836,4
1129,0,0,0,2010,42,480,2024-06-18 01:35:25.95256,2
1130,0,0,0,2010,148,474,2024-06-18 01:34:36.258068,2
12878,0,0,0,2010,167,494,2024-06-18 01:37:21.332069,2
3296,0,0,0,2010,169,494,2024-06-18 01:37:21.338935,2
1124,0,0,0,2010,233,452,2024-06-18 01:31:40.995883,2
1207,0,0,0,2010,164,472,2024-06-18 01:34:21.33916,2
1284,0,0,0,2010,50,444,2024-06-18 01:31:10.982844,2
1042,0,0,0,2010,197,450,2024-06-18 01:31:26.497116,2
1285,0,0,0,2010,28,432,2024-06-18 01:29:30.939737,2
1203,0,0,0,2010,151,462,2024-06-18 01:33:06.426286,2
1283,0,0,0,2010,10,410,2024-06-18 01:19:00.936407,2
1126,0,0,0,2010,207,472,2024-06-18 01:34:21.488749,2
7994,0,0,0,2010,182,424,2024-06-18 01:28:26.410333,2
1127,0,0,0,2010,145,418,2024-06-18 01:27:36.280161,2
1204,0,0,0,2010,198,414,2024-06-18 01:25:41.772061,2
14910,0,0,0,2010,184,424,2024-06-18 01:28:26.417068,2
16333,0,0,0,2010,172,494,2024-06-18 01:37:21.349394,2
7230,31,0,0,2010,200,505,2023-08-25 12:05:08.395318,4
1287,0,0,0,2010,30,724,2022-09-06 18:17:58.325057,4
20971,0,1,0,2010,145,1309,2023-04-11 14:54:04.728231,4
20972,0,1,0,2010,58,1309,2023-04-11 14:54:04.738208,4
20970,0,2,0,2010,134,1309,2023-04-11 14:54:44.674358,4
1364,0,0,0,2010,9,436,2022-09-06 18:17:58.325057,3
1365,0,0,0,2010,110,446,2022-09-06 18:17:58.325057,4
1367,0,0,0,2010,6,937,2022-09-06 18:17:58.325057,2
1368,0,0,0,2010,183,3,2022-09-06 18:17:58.325057,1
5679,0,2,0,2010,85,1121,2023-04-18 09:50:58.571873,4
20973,0,1,0,2010,129,1121,2023-04-18 09:50:58.612983,4
20974,0,1,0,2010,180,1121,2023-04-18 09:50:58.638852,4
1445,0,156,0,2010,7,853,2023-04-27 14:35:28.193808,4
1444,0,0,0,2010,146,631,2022-09-06 18:17:58.325057,2
1446,0,0,0,2010,45,426,2022-09-06 18:17:58.325057,3
1447,19259,0,0,2010,163,134,2022-09-06 18:17:58.325057,2
1523,0,0,0,2010,194,724,2022-09-06 18:17:58.325057,2
20975,10000,0,0,2010,177,1541,2023-06-14 08:51:47.80931,4
1525,0,0,0,2010,168,820,2022-09-06 18:17:58.325057,2
1529,0,18,0,2010,92,717,2022-09-06 18:17:58.325057,3
1530,0,0,0,2010,140,633,2022-09-06 18:17:58.325057,2
20977,1,0,0,2010,15,5,2023-04-19 08:25:03.55523,4
1603,0,0,0,2010,129,631,2022-09-06 18:17:58.325057,2
