id,supply_type,payment_date,start_date,end_date,register_bank_id,file_generated,response_read,created_by,created_date,last_modified_by,last_modified_date
20,OTHER,2022-10-10 00:00:00,2022-10-08 21:00:00,2022-10-10 21:00:00,1,t,t,890,2022-10-10 10:53:10.619199,890,2022-10-10 10:53:23.885261
47,ASSETS,2022-10-28 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-28 10:33:59.612178,890,2022-10-28 10:34:13.886973
13,OTHER,2022-10-04 00:00:00,2022-10-02 21:00:00,2022-10-04 21:00:00,1,t,t,890,2022-10-04 10:58:42.184721,890,2022-10-04 10:59:11.721147
51,OTHER,2022-10-28 00:00:00,2022-10-26 21:00:00,2022-10-28 21:00:00,2,t,t,890,2022-10-28 16:39:38.095611,890,2022-10-28 16:39:52.295732
14,OTHER,2022-10-05 00:00:00,2022-10-03 21:00:00,2022-10-05 21:00:00,1,t,t,890,2022-10-05 09:38:38.925791,890,2022-10-05 09:43:43.187473
37,ASSETS,2022-10-27 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-26 17:46:52.051577,890,2022-10-26 17:48:51.260966
22,OTHER,2022-10-13 00:00:00,2022-10-10 21:00:00,2022-10-13 21:00:00,1,t,t,890,2022-10-13 09:23:51.443285,890,2022-10-13 12:35:29.194321
30,OTHER,2022-10-20 00:00:00,2022-10-18 21:00:00,2022-10-20 21:00:00,1,t,t,890,2022-10-20 11:00:28.441784,890,2022-10-20 11:00:38.458957
31,OTHER,2022-10-20 00:00:00,2022-10-18 21:00:00,2022-10-20 21:00:00,1,t,t,890,2022-10-20 13:11:54.048038,890,2022-10-20 13:13:19.717786
21,OTHER,2022-10-11 00:00:00,2022-10-09 21:00:00,2022-10-11 21:00:00,1,t,t,890,2022-10-11 10:18:52.322349,890,2022-10-11 10:19:23.782235
44,ASSETS,2022-10-27 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-27 16:18:59.576067,890,2022-10-27 16:19:50.318289
29,OTHER,2022-10-18 00:00:00,2022-10-16 21:00:00,2022-10-18 21:00:00,1,t,t,890,2022-10-18 10:14:25.695887,890,2022-10-18 10:17:03.05288
32,OTHER,2022-10-20 00:00:00,2022-10-18 21:00:00,2022-10-20 21:00:00,1,t,t,890,2022-10-20 14:37:00.009508,890,2022-10-20 14:37:14.370683
33,OTHER,2022-10-21 00:00:00,2022-10-19 21:00:00,2022-10-21 21:00:00,1,t,t,890,2022-10-21 09:56:57.547624,890,2022-10-21 09:57:24.910198
35,ASSETS,2022-10-27 00:00:00,2022-11-07 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-26 17:17:49.002202,890,2022-10-26 17:24:37.564486
60,OTHER,2022-11-01 00:00:00,2022-10-30 21:00:00,2022-11-01 21:00:00,2,t,t,890,2022-11-01 10:07:41.679964,890,2022-11-01 10:07:51.008492
45,OTHER,2022-10-28 00:00:00,2022-10-26 21:00:00,2022-10-28 21:00:00,1,t,t,890,2022-10-28 08:40:09.408331,890,2022-10-28 08:40:22.614034
