id,data,transaction_id,status,ref
137,,9957483745846419458,APPROVED,CERTIFICATE_TESOURO_VERDE
138,,13859580800819265324,APPROVED,CERTIFICATE_TESOURO_VERDE
139,,MIGRACAO_266,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
140,,4547062100878144343,APPROVED,CERTIFICATE_TESOURO_VERDE
141,,MIGRACAO_268,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
142,,15691400221191021823,APPROVED,CERTIFICATE_TESOURO_VERDE
143,,MIGRACAO_270,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
144,,MIGRACAO_272,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
145,,12615931155128053294,APPROVED,CERTIFICATE_TESOURO_VERDE
146,,744192708090357519,APPROVED,CERTIFICATE_TESOURO_VERDE
147,,9560989360836709019,APPROVED,CERTIFICATE_TESOURO_VERDE
148,,4355163044282786301,APPROVED,CERTIFICATE_TESOURO_VERDE
149,,1850084482531412446,APPROVED,CERTIFICATE_TESOURO_VERDE
150,,MIGRACAO_274,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
151,,MIGRACAO_276,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
152,,MIGRACAO_278,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
153,,MIGRACAO_280,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
154,,MIGRACAO_282,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
155,,MIGRACAO_284,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
156,,MIGRACAO_286,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
157,,MIGRACAO_288,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
158,,MIGRACAO_290,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
159,,MIGRACAO_292,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
160,,MIGRACAO_294,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
161,,MIGRACAO_296,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
162,,MIGRACAO_298,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
163,,MIGRACAO_300,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
164,,MIGRACAO_302,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
165,,MIGRACAO_304,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
166,,MIGRACAO_306,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
