id,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,ucs_amount,fee,payment_type,price,status,total,billet_id,issuer_id,recipient_id,distribution_id,basket_fee_id,additional_info,discount,promo_code_id,commission_sum,commission_id,order_book_queue_id,origin_platform_id,recipient_platform_id
42,937,2022-07-25 11:51:17.32563,918,2022-08-12 16:38:02.937358,,,36000,1300.00,BILLET,150.74,PROCESSED,1300.00,208,937,1278,36446,10,,,,,,,,
54,627,2022-09-02 08:44:29.20199,933,2022-09-02 08:48:00.502267,,,44,44.47,ELECTRONIC_TRANSFER,144.37,PROCESSED,44.47,,627,6,36473,10,,,,,,,,
47,1181,2022-08-10 15:38:31.379305,918,2022-08-18 08:51:56.467082,,,350,353.71,ELECTRONIC_TRANSFER,144.37,PROCESSED,353.71,,1181,6,36452,10,,,,,,,,
60,919,2022-10-14 11:21:13.252987,918,2022-10-18 17:29:11.748793,,,350,354.98,ELECTRONIC_TRANSFER,144.89,PROCESSED,354.98,,919,6,36534,10,"{""paymentDate"": ""2022-10-18T17:28:57.220297432-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
58,1181,2022-09-22 09:44:43.670635,918,2022-09-22 09:48:50.748548,,,350,352.80,ELECTRONIC_TRANSFER,144.00,PROCESSED,352.80,,1181,6,36503,10,"{""paymentDate"": ""2022-09-22T09:48:24.565857568-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
55,1302,2022-09-09 00:38:01.750945,918,2022-09-09 09:20:50.597091,,,334,336.67,ELECTRONIC_TRANSFER,144.00,PROCESSED,336.67,,1302,6,36477,10,"{""paymentDate"": ""2022-09-09T09:20:40.68507447-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
50,1151,2022-08-22 15:42:56.319086,918,2022-08-23 13:45:26.193195,,,350,353.71,ELECTRONIC_TRANSFER,144.37,PROCESSED,353.71,,1151,6,36458,10,,,,,,,,
49,1310,2022-08-16 13:40:02.004126,918,2022-08-23 13:45:30.657085,,,66000,1300.00,ELECTRONIC_TRANSFER,144.37,PROCESSED,1300.00,,1310,1320,36459,10,,,,,,,,
59,1151,2022-09-26 13:14:26.705277,918,2022-09-26 15:16:41.673807,,,350,352.80,ELECTRONIC_TRANSFER,144.00,PROCESSED,352.80,,1151,6,36505,10,"{""paymentDate"": ""2022-09-26T15:16:31.887012729-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
52,1310,2022-08-24 09:52:03.0217,918,2022-08-30 11:54:26.805935,,,40000,1300.00,ELECTRONIC_TRANSFER,144.37,PROCESSED,1300.00,,1310,1322,36468,10,,,,,,,,
62,1172,2022-10-19 16:50:40.440305,918,2022-10-25 09:46:28.838778,,,800,811.38,ELECTRONIC_TRANSFER,144.89,PROCESSED,811.38,,1172,6,36549,10,"{""paymentDate"": ""2022-10-25T09:46:07.075179301-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
53,919,2022-08-30 15:49:54.419402,918,2022-08-30 15:53:55.311649,,,350,353.71,ELECTRONIC_TRANSFER,144.37,PROCESSED,353.71,,919,6,36469,10,,,,,,,,
57,919,2022-09-12 21:19:21.979076,918,2022-09-13 09:21:03.678093,,,350,352.80,ELECTRONIC_TRANSFER,144.00,PROCESSED,352.80,,919,6,36486,10,"{""paymentDate"": ""2022-09-13T09:20:54.780068733-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
73,1310,2022-11-14 17:20:15.564072,918,2022-11-18 12:16:47.786534,,,47,46.15,ELECTRONIC_TRANSFER,140.27,PROCESSED,46.15,,1310,6,36628,10,"{""paymentDate"": ""2022-11-18T12:15:40.478783695-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
71,1310,2022-11-04 10:46:12.540408,918,2022-11-18 12:16:53.174543,,,1000,981.89,ELECTRONIC_TRANSFER,140.27,PROCESSED,981.89,,1310,1320,36629,10,"{""paymentDate"": ""2022-11-18T12:16:01.827385117-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
64,1310,2022-11-04 10:30:26.602896,918,2022-11-18 12:17:21.495442,,,110465,1300.00,ELECTRONIC_TRANSFER,140.27,PROCESSED,1300.00,,1310,1360,36636,10,"{""paymentDate"": ""2022-11-18T12:16:39.671039625-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
66,1310,2022-11-04 10:31:49.876948,918,2022-11-18 12:17:14.89337,,,40000,1300.00,ELECTRONIC_TRANSFER,140.27,PROCESSED,1300.00,,1310,1356,36634,10,"{""paymentDate"": ""2022-11-18T12:16:29.865771147-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
65,1310,2022-11-04 10:31:12.190393,918,2022-11-18 12:17:18.395166,,,40000,1300.00,ELECTRONIC_TRANSFER,140.27,PROCESSED,1300.00,,1310,1370,36635,10,"{""paymentDate"": ""2022-11-18T12:16:34.459932241-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
70,1310,2022-11-04 10:35:14.795121,918,2022-11-18 12:16:57.966311,,,165000,1300.00,ELECTRONIC_TRANSFER,140.27,PROCESSED,1300.00,,1310,1366,36630,10,"{""paymentDate"": ""2022-11-18T12:16:07.544053168-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
69,1310,2022-11-04 10:33:55.077915,918,2022-11-18 12:17:05.21375,,,165000,1300.00,ELECTRONIC_TRANSFER,140.27,PROCESSED,1300.00,,1310,1365,36631,10,"{""paymentDate"": ""2022-11-18T12:16:14.558008203-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
68,1310,2022-11-04 10:33:27.718808,918,2022-11-18 12:17:09.355448,,,165000,1300.00,ELECTRONIC_TRANSFER,140.27,PROCESSED,1300.00,,1310,1367,36632,10,"{""paymentDate"": ""2022-11-18T12:16:20.060167623-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
67,1310,2022-11-04 10:32:30.24872,918,2022-11-18 12:17:12.115874,,,700,687.32,ELECTRONIC_TRANSFER,140.27,PROCESSED,687.32,,1310,1364,36633,10,"{""paymentDate"": ""2022-11-18T12:16:24.806337901-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
75,1151,2022-12-05 23:57:40.494143,918,2022-12-08 14:44:12.534515,,,350,350.37,ELECTRONIC_TRANSFER,143.01,PROCESSED,350.37,,1151,6,36647,10,"{""paymentDate"": ""2022-12-08T14:43:49.438645383-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
72,919,2022-11-14 15:03:14.474957,918,2022-11-18 12:15:32.762951,,,350,343.66,ELECTRONIC_TRANSFER,140.27,PROCESSED,343.66,,919,6,36627,10,"{""paymentDate"": ""2022-11-16T11:06:31.999957108-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
74,919,2022-11-17 16:00:52.692661,918,2023-02-13 08:29:27.708747,,,350,343.66,ELECTRONIC_TRANSFER,140.27,PROCESSED,343.66,,919,6,36750,10,"{""paymentDate"": ""2022-12-08T14:44:05.41987067-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
