id,profile_id,ucs_amount,position,order_book_group_id,created_by,created_date,last_modified_by,last_modified_date,next
2282,583,0,8,86,933,2022-07-14 11:54:45.30043,933,2022-07-14 11:54:45.30043,f
2286,1225,0,10,86,933,2022-07-14 13:02:06.46177,933,2022-07-14 13:02:06.46177,f
2287,616,0,11,86,933,2022-07-14 13:03:27.407905,933,2022-07-14 13:03:27.407905,f
2288,708,0,12,86,933,2022-07-14 13:06:09.46,933,2022-07-14 13:06:09.46,f
2302,723,0,14,86,933,2022-07-14 16:12:49.801481,933,2022-07-14 16:12:49.801481,f
2303,632,0,15,86,933,2022-07-14 16:13:43.942864,933,2022-07-14 16:13:43.942864,f
2304,1134,0,16,86,933,2022-07-14 16:14:13.141981,933,2022-07-14 16:14:13.141981,f
2305,47,0,17,86,933,2022-07-14 16:14:50.590311,933,2022-07-14 16:14:50.590311,f
2306,63,0,18,86,933,2022-07-14 16:15:12.43571,933,2022-07-14 16:15:12.43571,f
2369,337,0,81,86,933,2022-07-14 16:45:31.189038,933,2022-07-14 16:45:31.189038,f
2370,803,0,82,86,933,2022-07-14 16:45:49.875255,933,2022-07-14 16:45:49.875255,f
2371,1228,0,83,86,933,2022-07-14 16:46:08.645841,933,2022-07-14 16:46:08.645841,f
2372,602,0,84,86,933,2022-07-14 16:46:27.341688,933,2022-07-14 16:46:27.341688,f
2373,688,0,85,86,933,2022-07-14 16:46:46.032271,933,2022-07-14 16:46:46.032271,f
2374,821,0,86,86,933,2022-07-14 16:47:04.767057,933,2022-07-14 16:47:04.767057,f
2375,623,0,87,86,933,2022-07-14 16:47:26.070262,933,2022-07-14 16:47:26.070262,f
2376,591,0,88,86,933,2022-07-14 16:47:41.889343,933,2022-07-14 16:47:41.889343,f
2560,725,0,89,86,933,2022-07-15 09:20:30.654398,933,2022-07-15 09:20:30.654398,f
2561,528,0,90,86,933,2022-07-15 09:21:02.06849,933,2022-07-15 09:21:02.06849,f
2562,552,0,91,86,933,2022-07-15 09:21:59.53167,933,2022-07-15 09:21:59.53167,f
2563,1274,0,92,86,933,2022-07-15 09:23:28.506208,933,2022-07-15 09:23:28.506208,f
2631,581,0,93,86,933,2022-07-15 14:18:40.486578,933,2022-07-15 14:18:40.486578,f
2632,529,0,94,86,933,2022-07-15 14:25:32.805915,933,2022-07-15 14:25:32.805915,f
2633,590,0,95,86,933,2022-07-15 14:25:47.186674,933,2022-07-15 14:25:47.186674,f
3100,589,0,13,171,0,2022-12-13 20:21:46.844263,0,2022-12-13 20:21:46.844263,f
3101,658,0,14,171,0,2022-12-13 20:21:46.849828,0,2022-12-13 20:21:46.849828,f
3497,238,0,3,182,0,2022-12-23 19:00:16.266806,0,2022-12-23 19:00:16.266806,f
3498,46,0,4,182,0,2022-12-23 19:00:16.273022,0,2022-12-23 19:00:16.273022,f
3104,593,0,17,171,0,2022-12-13 20:21:46.867811,0,2022-12-13 20:21:46.867811,f
3105,599,0,18,171,0,2022-12-13 20:21:46.873351,0,2022-12-13 20:21:46.873351,f
3499,44,0,5,182,0,2022-12-23 19:00:16.27763,0,2022-12-23 19:00:16.27763,f
3107,650,0,20,171,0,2022-12-13 20:21:46.884714,0,2022-12-13 20:21:46.884714,f
3108,635,0,21,171,0,2022-12-13 20:21:46.890262,0,2022-12-13 20:21:46.890262,f
3109,648,0,22,171,0,2022-12-13 20:21:46.895744,0,2022-12-13 20:21:46.895744,f
3110,584,0,23,171,0,2022-12-13 20:21:46.901379,0,2022-12-13 20:21:46.901379,f
3111,649,0,24,171,0,2022-12-13 20:21:46.906722,0,2022-12-13 20:21:46.906722,f
3500,204,0,6,182,0,2022-12-23 19:00:16.282183,0,2022-12-23 19:00:16.282183,f
3113,602,0,26,171,0,2022-12-13 20:21:46.917777,0,2022-12-13 20:21:46.917777,f
3114,821,0,27,171,0,2022-12-13 20:21:46.923733,0,2022-12-13 20:21:46.923733,f
3115,591,0,28,171,0,2022-12-13 20:21:46.929506,0,2022-12-13 20:21:46.929506,f
3116,645,0,29,171,0,2022-12-13 20:21:46.935149,0,2022-12-13 20:21:46.935149,f
2904,296,0,77,135,0,2022-10-25 15:13:04.001005,0,2022-10-25 15:13:04.001005,f
2905,300,0,78,135,0,2022-10-25 15:13:04.009358,0,2022-10-25 15:13:04.009358,f
2906,308,0,79,135,0,2022-10-25 15:13:04.01771,0,2022-10-25 15:13:04.01771,f
2907,310,0,80,135,0,2022-10-25 15:13:04.025594,0,2022-10-25 15:13:04.025594,f
3501,52,0,7,182,0,2022-12-23 19:00:16.286314,0,2022-12-23 19:00:16.286314,f
3502,236,0,8,182,0,2022-12-23 19:00:16.290673,0,2022-12-23 19:00:16.290673,f
3503,320,0,9,182,0,2022-12-23 19:00:16.301233,0,2022-12-23 19:00:16.301233,f
3504,24,0,10,182,0,2022-12-23 19:00:16.306931,0,2022-12-23 19:00:16.306931,f
3505,80,0,11,182,0,2022-12-23 19:00:16.311593,0,2022-12-23 19:00:16.311593,f
3506,106,0,12,182,0,2022-12-23 19:00:16.31632,0,2022-12-23 19:00:16.31632,f
3507,250,0,13,182,0,2022-12-23 19:00:16.320227,0,2022-12-23 19:00:16.320227,f
3508,234,0,14,182,0,2022-12-23 19:00:16.325348,0,2022-12-23 19:00:16.325348,f
3509,274,0,15,182,0,2022-12-23 19:00:16.331007,0,2022-12-23 19:00:16.331007,f
3510,222,0,16,182,0,2022-12-23 19:00:16.336044,0,2022-12-23 19:00:16.336044,f
3511,78,0,17,182,0,2022-12-23 19:00:16.340717,0,2022-12-23 19:00:16.340717,f
3512,262,0,18,182,0,2022-12-23 19:00:16.344969,0,2022-12-23 19:00:16.344969,f
3513,362,0,19,182,0,2022-12-23 19:00:16.349918,0,2022-12-23 19:00:16.349918,f
3514,200,0,20,182,0,2022-12-23 19:00:16.354046,0,2022-12-23 19:00:16.354046,f
3515,118,0,21,182,0,2022-12-23 19:00:16.357937,0,2022-12-23 19:00:16.357937,f
3516,384,0,22,182,0,2022-12-23 19:00:16.362076,0,2022-12-23 19:00:16.362076,f
3517,158,0,23,182,0,2022-12-23 19:00:16.367423,0,2022-12-23 19:00:16.367423,f
2908,314,0,81,135,0,2022-10-25 15:13:04.033555,0,2022-10-25 15:13:04.033555,f
2909,316,0,82,135,0,2022-10-25 15:13:04.041647,0,2022-10-25 15:13:04.041647,f
2910,320,0,83,135,0,2022-10-25 15:13:04.049808,0,2022-10-25 15:13:04.049808,f
2911,324,0,84,135,0,2022-10-25 15:13:04.058385,0,2022-10-25 15:13:04.058385,f
2912,326,0,85,135,0,2022-10-25 15:13:04.069096,0,2022-10-25 15:13:04.069096,f
2913,334,0,86,135,0,2022-10-25 15:13:04.07955,0,2022-10-25 15:13:04.07955,f
2914,336,0,87,135,0,2022-10-25 15:13:04.087448,0,2022-10-25 15:13:04.087448,f
2931,384,0,4,136,0,2022-10-25 15:13:41.841041,0,2022-10-25 15:13:41.841041,f
2932,388,0,5,136,0,2022-10-25 15:13:41.847504,0,2022-10-25 15:13:41.847504,f
2933,390,0,6,136,0,2022-10-25 15:13:41.853495,0,2022-10-25 15:13:41.853495,f
2934,392,0,7,136,0,2022-10-25 15:13:41.857228,0,2022-10-25 15:13:41.857228,f
2935,394,0,8,136,0,2022-10-25 15:13:41.861449,0,2022-10-25 15:13:41.861449,f
2936,380,0,9,136,0,2022-10-25 15:13:41.866072,0,2022-10-25 15:13:41.866072,f
3518,370,0,24,182,0,2022-12-23 19:00:16.372505,0,2022-12-23 19:00:16.372505,f
3519,188,0,25,182,0,2022-12-23 19:00:16.377251,0,2022-12-23 19:00:16.377251,f
3526,344,0,32,182,0,2022-12-23 19:00:16.414628,0,2022-12-23 19:00:16.414628,f
3527,90,0,33,182,0,2022-12-23 19:00:16.420551,0,2022-12-23 19:00:16.420551,f
2940,232,0,4,137,0,2022-10-25 15:25:32.752904,0,2022-10-25 15:25:32.752904,f
2942,272,0,6,137,0,2022-10-25 15:25:32.764252,0,2022-10-25 15:25:32.764252,f
3529,271,0,2,183,0,2022-12-23 19:09:21.13001,0,2022-12-23 19:09:21.13001,f
3530,505,0,3,183,0,2022-12-23 19:09:21.136655,0,2022-12-23 19:09:21.136655,f
3531,528,0,4,183,0,2022-12-23 19:09:21.144023,0,2022-12-23 19:09:21.144023,f
3532,529,0,5,183,0,2022-12-23 19:09:21.151277,0,2022-12-23 19:09:21.151277,f
3533,534,0,6,183,0,2022-12-23 19:09:21.156841,0,2022-12-23 19:09:21.156841,f
3534,548,0,7,183,0,2022-12-23 19:09:21.161971,0,2022-12-23 19:09:21.161971,f
3535,580,0,8,183,0,2022-12-23 19:09:21.166351,0,2022-12-23 19:09:21.166351,f
