id,role_user_id,user_id,status,processing_message,reason,description,active,block,area_id,amount,created_by,created_date,last_modified_by,last_modified_date
112,,20,FINISHED,,BREACH_OF_CONTRACT,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a desmatamento de propriedade rural.",t,t,,,933,2023-03-16 11:51:26.644517,933,2023-03-16 11:51:26.644517
113,,34,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:00:01.660077,933,2023-03-16 14:00:01.660077
114,,35,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:00:43.399387,933,2023-03-16 14:00:43.399387
115,,38,FINISHED,,BREACH_OF_CONTRACT,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a desmatamento de propriedade rural.",t,t,,,933,2023-03-16 14:02:09.582217,933,2023-03-16 14:02:09.582217
116,,49,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:03:28.134161,933,2023-03-16 14:03:28.134161
117,,52,FINISHED,,BREACH_OF_CONTRACT,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a desmatamento de propriedade rural.",t,t,,,933,2023-03-16 14:05:45.500774,933,2023-03-16 14:05:45.500774
118,,54,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:07:23.153312,933,2023-03-16 14:07:23.153312
119,,56,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:09:49.785963,933,2023-03-16 14:09:49.785963
120,,65,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:11:48.34404,933,2023-03-16 14:11:48.34404
121,,68,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:21:29.948819,933,2023-03-16 14:21:29.948819
122,,69,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:23:25.175542,933,2023-03-16 14:23:25.175542
123,,70,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:24:11.579537,933,2023-03-16 14:24:11.579537
124,,71,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:25:28.677828,933,2023-03-16 14:25:28.677828
