id,account_code,parent_account,description,report_shows_number,reducing_account,created_by,created_date,last_modified_by,last_modified_date
189,4.11.3,109,"(-) VIAGENS E ESTADIAS; ALIMENTAÇÃO (FUNCIONÁRIOS, PARCEIROS, ETC.)",t,t,1339,2022-09-28 17:11:45.962409,1339,2022-09-28 17:11:45.962409
190,5.1.1,140,(-) APLICAÇÕES FINANCEIRAS,t,t,1339,2022-09-28 17:32:26.68529,933,2022-09-30 11:13:34.983498
188,2.2.3,11,(-) MUNICIPAIS,t,t,1339,2022-09-28 16:10:31.330442,933,2022-09-30 11:13:58.256774
186,4.3.7,64,(-) Prestação de Serviço,t,t,890,2022-09-22 15:27:23.684248,933,2022-09-30 11:14:18.560339
176,6.4.10,166,(-) BMV PORTUGAL,t,t,1339,2022-09-16 16:47:33.398755,933,2022-09-30 11:15:07.352061
175,6.4.9,166,(-) CERTIFICAÇÃO / SELO,t,t,1339,2022-09-16 16:47:12.812985,933,2022-09-30 11:23:00.673876
174,6.4.8,166,(-) CONSÓRCIOS,t,t,1339,2022-09-16 16:41:31.053377,933,2022-09-30 11:23:18.957019
159,5.3.4,155,(-) ENCARGOS SOCIAIS,t,t,1339,2022-09-16 16:26:10.174246,933,2022-09-30 11:23:36.985209
158,5.3.3,155,(-) TRIBUTÁRIOS,t,t,1339,2022-09-16 16:25:39.622212,933,2022-09-30 11:23:53.612947
19,2.3.3,16,"(-) RECBTº POR ORDEM DE TERCEIROS (UCS) (TESVER, ETC) - FORNECEDORES",t,t,890,2022-09-15 17:10:55.178283,933,2022-09-30 11:30:10.491175
144,5.2.1,141,(-) DESPESAS BANCÁRIAS,t,t,1339,2022-09-16 16:14:44.056826,933,2022-09-30 11:40:57.642083
145,5.2.2,141,(-) JUROS BANCÁRIOS / CARTÕES,t,t,1339,2022-09-16 16:15:44.372948,933,2022-09-30 11:41:21.125459
163,6.1.2,161,(-) EMPRESAS COLIGADAS,t,t,1339,2022-09-16 16:28:43.053675,933,2022-09-30 11:43:46.968619
147,5.2.4,141,(-) MULTAS / JUROS TÍTULOS,t,t,1339,2022-09-16 16:18:18.746654,933,2022-09-30 11:41:40.997921
148,5.2.5,141,(-) IMPOSTO S/ CÂMBIO,t,t,1339,2022-09-16 16:18:51.096688,933,2022-09-30 11:41:51.62439
146,5.2.3,141,(-) JUROS FINANCIAMENTO / EMPRÉSTIMOS,t,t,1339,2022-09-16 16:17:51.925549,1339,2022-09-30 11:41:56.219937
162,6.1.1,161,(-) SÓCIOS,t,t,1339,2022-09-16 16:28:09.548896,1339,2022-09-30 11:44:05.864653
150,5.2.7,141,(-) BOLETOS,t,t,1339,2022-09-16 16:19:46.668826,933,2022-09-30 11:42:08.474145
153,5.2.10,141,(-) PARCELAMENTO ENCARGOS FINANCEIROS,t,t,1339,2022-09-16 16:22:58.316526,933,2022-09-30 11:42:36.513907
154,5.2.11,141,(-) TAXAS DE CARTÕES DE CRÉDITOS,t,t,1339,2022-09-16 16:23:50.018963,933,2022-09-30 11:42:45.549028
152,5.2.9,141,(-) OUTROS CUSTOS FINANCEIROS,t,t,1339,2022-09-16 16:22:13.000423,1339,2022-09-30 11:42:47.695827
173,6.4.7,166,(-) REVISTAS E LIVROS,t,t,1339,2022-09-16 16:41:07.208819,933,2022-09-30 11:45:15.7632
156,5.3.1,155,(-) QUITAÇÃO EMPRÉSTIMOS,t,t,1339,2022-09-16 16:24:51.199646,1339,2022-09-30 11:43:09.056388
168,6.4.2,166,(-) INFORMÁTICA / TECNOLOGIA,t,t,1339,2022-09-16 16:33:09.664242,933,2022-09-30 11:44:19.356543
157,5.3.2,155,(-) FINANCIAMENTOS,t,t,1339,2022-09-16 16:25:10.248445,1339,2022-09-30 11:43:26.537952
191,4.1.24,33,(-) Plataforma de Gestão de Pessoas,t,t,890,2023-01-12 09:42:30.905963,890,2023-01-12 09:42:30.905963
169,6.4.3,166,(-) MÁQUINAS E EQUIPAMENTOS,t,t,1339,2022-09-16 16:34:02.427347,933,2022-09-30 11:44:27.90337
167,6.4.1,166,(-) CONSTRUÇÃO E REFORMAS,t,t,1339,2022-09-16 16:32:33.584825,1339,2022-09-30 11:44:31.013062
171,6.4.5,166,(-) TERRENOS,t,t,1339,2022-09-16 16:39:47.585058,933,2022-09-30 11:44:44.684697
172,6.4.6,166,(-) VEÍCULOS,t,t,1339,2022-09-16 16:40:39.006532,933,2022-09-30 11:44:55.781456
170,6.4.4,166,(-) MÓVEIS E UNTENSÍLIOS,t,t,1339,2022-09-16 16:39:24.903476,1339,2022-09-30 11:44:57.024532
187,4.12.2,113,(-) FRETES,t,t,1339,2022-09-27 18:04:05.346759,933,2023-08-10 10:38:58.866719
192,7.8,177,Aplicações Financeiras,t,f,933,2023-12-13 08:46:22.812895,933,2023-12-13 08:46:22.812895
193,5.3.5,155,(-) Mútuos,f,t,933,2023-12-13 08:47:06.01295,933,2023-12-13 08:47:06.01295
