id,endpoint_id,permission_id,created_by,created_date,last_modified_by,last_modified_date
8505,7645,110,,,,
8506,7646,110,,,,
8507,7647,99,,,,
8508,7648,101,,,,
8509,7649,101,,,,
8510,7650,101,,,,
8511,7651,101,,,,
8512,7652,100,,,,
8513,7652,104,,,,
8514,7653,102,,,,
8515,7654,270,,,,
8516,7655,271,,,,
8517,7656,271,,,,
8518,7657,131,,,,
8519,7658,272,,,,
8520,7659,270,,,,
8521,7660,53,,,,
8522,7661,57,,,,
8523,7662,59,,,,
8524,7662,365,,,,
8525,7663,59,,,,
8526,7663,365,,,,
8527,7664,59,,,,
8528,7664,365,,,,
8529,7665,365,,,,
8530,7666,59,,,,
8531,7667,59,,,,
8532,7667,365,,,,
8533,7668,59,,,,
8534,7668,365,,,,
8535,7669,56,,,,
8536,7670,57,,,,
8537,7671,58,,,,
8538,7672,59,,,,
8539,7673,54,,,,
8540,7674,55,,,,
8541,7675,53,,,,
8542,7676,319,,,,
8543,7677,328,,,,
8544,7678,43,,,,
8545,7679,44,,,,
8546,7680,49,,,,
8547,7680,51,,,,
8548,7681,44,,,,
8549,7682,43,,,,
8550,7683,44,,,,
8551,7684,47,,,,
8552,7685,43,,,,
8553,7686,44,,,,
8554,7687,48,,,,
8555,7688,49,,,,
8556,7689,49,,,,
8557,7689,51,,,,
8558,7690,49,,,,
8559,7690,51,,,,
8560,7691,49,,,,
8561,7691,51,,,,
8562,7692,50,,,,
8563,7693,51,,,,
8564,7694,49,,,,
8565,7694,52,,,,
8566,7695,246,,,,
8567,7696,247,,,,
8568,7696,249,,,,
8569,7697,247,,,,
8570,7697,249,,,,
8571,7698,247,,,,
8572,7698,249,,,,
8573,7699,248,,,,
8574,7700,250,,,,
8575,7701,247,,,,
8576,7701,249,,,,
8577,7702,247,,,,
8578,7703,216,,,,
8579,7704,218,,,,
8580,7704,219,,,,
8581,7705,218,,,,
8582,7705,219,,,,
8583,7706,218,,,,
8584,7706,219,,,,
8585,7707,217,,,,
8586,7708,220,,,,
8587,7709,221,,,,
8588,7710,223,,,,
8589,7710,224,,,,
8590,7711,222,,,,
8591,7712,225,,,,
8592,7713,228,,,,
8593,7713,229,,,,
8594,7714,228,,,,
8595,7714,229,,,,
8596,7715,230,,,,
8597,7716,229,,,,
8598,7716,228,,,,
8599,7716,231,,,,
8600,7717,227,,,,
8601,7718,232,,,,
8602,7719,235,,,,
8603,7719,234,,,,
8604,7720,237,,,,
8605,7721,236,,,,
8606,7722,233,,,,
8607,7723,235,,,,
8608,7723,234,,,,
8609,7724,238,,,,
8610,7725,241,,,,
8611,7725,240,,,,
8612,7726,242,,,,
8613,7727,223,,,,
8614,7727,224,,,,
8615,7728,211,,,,
8616,7729,213,,,,
8617,7729,214,,,,
8618,7730,213,,,,
8619,7730,214,,,,
8620,7731,212,,,,
8621,7732,215,,,,
8622,7733,207,,,,
8623,7734,208,,,,
8624,7734,209,,,,
8625,7735,210,,,,
8626,7736,202,,,,
8627,7736,203,,,,
8628,7737,203,,,,
8629,7738,203,,,,
8630,7739,201,,,,
8631,7739,204,,,,
8632,7740,206,,,,
8633,7741,203,,,,
8634,7742,205,,,,
8635,7743,202,,,,
8636,7743,203,,,,
8637,7744,196,,,,
8638,7745,200,,,,
8639,7745,197,,,,
8640,7746,197,,,,
8641,7747,199,,,,
8642,7748,197,,,,
8643,7749,198,,,,
8644,7749,197,,,,
8645,7750,197,,,,
8646,7751,197,,,,
8647,7752,197,,,,
8648,7753,198,,,,
8649,7753,197,,,,
8650,7754,200,,,,
8651,7754,197,,,,
8652,7755,292,,,,
8653,7756,292,,,,
8654,7757,292,,,,
8655,7758,292,,,,
8656,7759,293,,,,
8657,7760,292,,,,
8658,7761,293,,,,
8659,7762,293,,,,
8660,7763,251,,,,
8661,7764,252,,,,
8662,7764,254,,,,
8663,7765,252,,,,
8664,7765,254,,,,
8665,7766,252,,,,
8666,7766,254,,,,
8667,7767,253,,,,
8668,7768,255,,,,
8669,7769,256,,,,
8670,7770,257,,,,
8671,7771,258,,,,
8672,7772,259,,,,
8673,7773,252,,,,
8674,7773,254,,,,
8675,7774,260,,,,
8676,7775,261,,,,
8677,7776,262,,,,
8678,7777,263,,,,
8679,7777,265,,,,
8680,7778,263,,,,
8681,7778,265,,,,
8682,7779,263,,,,
8683,7779,265,,,,
8684,7780,263,,,,
8685,7780,265,,,,
8686,7781,263,,,,
8687,7781,265,,,,
8688,7782,264,,,,
8689,7783,266,,,,
8690,7784,269,,,,
8691,7785,268,,,,
8692,7786,267,,,,
8693,7787,243,,,,
8694,7788,244,,,,
8695,7789,243,,,,
8696,7790,245,,,,
8697,7791,243,,,,
8698,7792,244,,,,
8699,7793,244,,,,
8700,7794,301,,,,
8701,7795,302,,,,
8702,7795,303,,,,
8703,7796,305,,,,
8704,7797,306,,,,
8705,7798,304,,,,
8706,7799,311,,,,
8707,7799,313,,,,
8708,7799,312,,,,
8709,7799,314,,,,
8710,7799,315,,,,
8711,7799,316,,,,
8712,7799,317,,,,
8713,7799,318,,,,
8714,7799,319,,,,
8715,7800,302,,,,
8716,7800,303,,,,
8717,7801,302,,,,
8718,7801,303,,,,
8719,7802,273,,,,
8720,7803,275,,,,
8721,7804,275,,,,
8722,7805,275,,,,
8723,7806,275,,,,
8724,7807,275,,,,
8725,7808,276,,,,
8726,7809,274,,,,
8727,7810,273,,,,
8728,7811,296,,,,
8729,7812,297,,,,
8730,7813,1,,,,
8731,7814,299,,,,
8732,7815,298,,,,
8733,7816,277,,,,
8734,7817,279,,,,
8735,7817,280,,,,
8736,7818,279,,,,
8737,7818,280,,,,
8738,7819,278,,,,
8739,7820,281,,,,
8740,7821,279,,,,
8741,7821,280,,,,
8742,7822,284,,,,
8743,7823,286,,,,
8744,7824,290,,,,
8745,7824,368,,,,
8746,7825,290,,,,
8747,7825,368,,,,
8748,7826,290,,,,
8749,7826,368,,,,
8750,7827,368,,,,
8751,7828,290,,,,
8752,7829,290,,,,
8753,7829,368,,,,
8754,7830,290,,,,
8755,7830,368,,,,
8756,7831,289,,,,
8757,7832,286,,,,
8758,7833,288,,,,
8759,7834,290,,,,
8760,7835,54,,,,
8761,7836,285,,,,
8762,7837,284,,,,
8763,7838,285,,,,
8764,7839,318,,,,
8765,7840,327,,,,
8766,7841,307,,,,
8767,7842,308,,,,
8768,7842,309,,,,
8769,7843,308,,,,
8770,7843,309,,,,
8771,7844,308,,,,
8772,7844,309,,,,
8773,7845,309,,,,
8774,7846,309,,,,
8775,7847,310,,,,
8776,7847,309,,,,
8777,7848,329,,,,
8778,7849,330,,,,
8779,7849,331,,,,
8780,7850,330,,,,
8781,7850,331,,,,
8782,7851,330,,,,
8783,7851,331,,,,
8784,7853,332,,,,
8785,7853,331,,,,
8786,7854,355,,,,
8787,7854,4,,,,
8788,7854,32,,,,
8789,7854,20,,,,
8790,7854,26,,,,
8791,7854,285,,,,
8792,7854,55,,,,
8793,7854,83,,,,
8794,7855,379,,,,
8795,7856,378,,,,
8796,7857,379,,,,
8797,7858,379,,,,
8798,7859,381,,,,
8799,7860,380,,,,
8800,7861,380,,,,
8801,7862,381,,,,
8802,7863,333,,,,
8803,7864,335,,,,
8804,7864,336,,,,
8805,7865,333,,,,
8806,7866,338,,,,
8807,7867,334,,,,
8808,7868,336,,,,
8809,7869,337,,,,
8810,7870,337,,,,
8811,7871,337,,,,
8812,7872,337,,,,
8813,7873,337,,,,
8814,7874,340,,,,
8815,7875,339,,,,
8816,7876,335,,,,
8817,7876,336,,,,
8818,7877,335,,,,
8819,7877,336,,,,
8820,7878,335,,,,
8821,7878,336,,,,
8822,7879,335,,,,
8823,7879,336,,,,
8824,7880,347,,,,
8825,7881,349,,,,
8826,7881,350,,,,
8827,7882,347,,,,
8828,7883,351,,,,
8829,7884,349,,,,
8830,7885,348,,,,
8831,7885,350,,,,
8832,7886,352,,,,
8833,7887,354,,,,
8834,7888,352,,,,
